"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"AC068587.4","Unmatched","","","",""
"FAM160B2","Previous symbol","FHIP2B","FHF complex subunit HOOK interacting protein 2B","HGNC:16492","8p21.3"
"AC100861.1","Unmatched","","","",""
"PBK","Approved symbol","PBK","PDZ binding kinase","HGNC:18282","8p21.1"
"AC026979.2","Unmatched","","","",""
"EFCAB1","Previous symbol","CLXN","calaxin","HGNC:25678","8q11.21"
"AC064807.1","Unmatched","","","",""
"AC064807.4","Unmatched","","","",""
"AC022034.1","Unmatched","","","",""
"IMPAD1","Previous symbol","BPNT2","3''(2''), 5''-bisphosphate nucleotidase 2","HGNC:26019","8q12.1"
"YTHDF3-AS1","Previous symbol","YTHDF3-DT","YTHDF3 divergent transcript","HGNC:48728","8q12.3"
"AC055822.1","Unmatched","","","",""
"AC009812.1","Unmatched","","","",""
"AC100801.1","Unmatched","","","",""
"AC103760.1","Alias symbol","WWP1-AS1","WWP1 antisense RNA 1","HGNC:55520","8q21.3"
"AF117829.1","Alias symbol","PARAIL","palmitic acid regulated anti-inflammatory lncRNA","HGNC:55545","8q21.3"
"FAM92A","Previous symbol","CIBAR1","CBY1 interacting BAR domain containing 1","HGNC:30452","8q22.1"
"AC120053.1","Unmatched","","","",""
"AC108860.2","Unmatched","","","",""
"C8orf37-AS1","Previous symbol","CFAP418-AS1","CFAP418 antisense RNA 1","HGNC:50444","8q22.1"
"C8orf37","Previous symbol","CFAP418","cilia and flagella associated protein 418","HGNC:27232","8q22.1"
"AP003352.1","Alias symbol","RPL30-AS1","RPL30 antisense RNA 1","HGNC:56064","8q22.2"
"VPS13B-DT","Approved symbol","VPS13B-DT","VPS13B divergent transcript","HGNC:54375","8q22.2"
"AP001574.1","Unmatched","","","",""
"AP001207.3","Unmatched","","","",""
"UBR5-AS1","Previous symbol","UBR5-DT","UBR5 divergent transcript","HGNC:51661","8q22.3"
"AP002852.1","Unmatched","","","",""
"AZIN1-AS1","Previous symbol","MAILR","macrophage interferon regulatory lncRNA","HGNC:51558","8q22.3"
"BAALC-AS1","Approved symbol","BAALC-AS1","BAALC antisense RNA 1","HGNC:50461","8q22.3"
"AC027031.2","Unmatched","","","",""
"WDYHV1","Previous symbol","NTAQ1","N-terminal glutamine amidase 1","HGNC:25490","8q24.13"
"RNF139-AS1","Previous symbol","RNF139-DT","RNF139 divergent transcript","HGNC:48940","8q24.13"
"AC100858.3","Unmatched","","","",""
"FAM49B","Previous symbol","CYRIB","CYFIP related Rac1 interactor B","HGNC:25216","8q24.21"
"LRRC6","Previous symbol","DNAAF11","dynein axonemal assembly factor 11","HGNC:16725","8q24.22"
"AC103706.1","Unmatched","","","",""
"AC107375.1","Unmatched","","","",""
"TSTA3","Previous symbol","GFUS","GDP-L-fucose synthase","HGNC:12390","8q24.3"
"AC105219.1","Unmatched","","","",""
"AC109322.1","Unmatched","","","",""
"CYHR1","Previous symbol","ZFTRAF1","zinc finger TRAF-type containing 1","HGNC:17806","8q24.3"
"CBWD1","Previous symbol","ZNG1A","Zn regulated GTPase metalloprotein activator 1A","HGNC:17134","9p24.3"
"AL162253.2","Unmatched","","","",""
"KIAA2026","Previous symbol","BRD10","bromodomain containing 10","HGNC:23378","9p24.1"
"AL354707.1","Unmatched","","","",""
"AL158206.1","Unmatched","","","",""
"DDX58","Previous symbol","RIGI","RNA sensor RIG-I","HGNC:19102","9p21.1"
"AL162231.1","Unmatched","","","",""
"AL162231.2","Unmatched","","","",""
"FAM214B","Previous symbol","ATOSB","atos homolog B","HGNC:25666","9p13.3"
"RMRP","Approved symbol","RMRP","RNA component of mitochondrial RNA processing endoribonuclease","HGNC:10031","9p13.3"
"BX664615.2","Unmatched","","","",""
"CBWD6","Previous symbol","ZNG1F","Zn regulated GTPase metalloprotein activator 1F","HGNC:31978","9p11.2"
"AL512625.1","Unmatched","","","",""
"CBWD5","Previous symbol","ZNG1E","Zn regulated GTPase metalloprotein activator 1E","HGNC:24584","9q21.11"
"CBWD3","Previous symbol","ZNG1C","Zn regulated GTPase metalloprotein activator 1C","HGNC:18519","9q21.11"
"AL161457.2","Unmatched","","","",""
"FAM122A","Previous symbol","PABIR1","PP2A Aalpha (PPP2R1A) and B55A (PPP2R2A) interacting phosphatase regulator 1","HGNC:23490","9q21.11"
"AL499602.1","Unmatched","","","",""
"C9orf64","Previous symbol","QNG1","Q-nucleotide N-glycosylase 1","HGNC:28144","9q21.32"
"AL583827.1","Unmatched","","","",""
"C9orf170","Previous symbol","LINC02872","long intergenic non-protein coding RNA 2872","HGNC:33817","9q21.33"
"AL353572.4","Unmatched","","","",""
"AL353748.3","Unmatched","","","",""
"AL158071.1","Unmatched","","","",""
"IARS","Previous symbol","IARS1","isoleucyl-tRNA synthetase 1","HGNC:5330","9q22.31"
"AL158152.1","Unmatched","","","",""
"LINC00476","Previous symbol","ERCC6L2-AS1","ERCC6L2 antisense RNA 1","HGNC:27858","9q22.32"
"AL589843.1","Unmatched","","","",""
"MFSD14C","Previous symbol","SLC71A3P","solute carrier family 71 member 3, pseudogene","HGNC:23672","9q22.33"
"AL590705.1","Unmatched","","","",""
"STX17-AS1","Alias symbol","NAMA","non-protein coding RNA, associated with MAP kinase pathway and growth arrest","HGNC:42408","9q22.33"
"PALM2-AKAP2","Previous symbol","PALM2AKAP2","PALM2 and AKAP2 fusion","HGNC:33529","9q31.3"
"AL138756.1","Unmatched","","","",""
"ZNF883","Approved symbol","ZNF883","zinc finger protein 883","HGNC:27271","9q32"
"AC007066.2","Unmatched","","","",""
"AL161908.1","Unmatched","","","",""
"FAM102A","Previous symbol","EEIG1","estrogen-induced osteoclastogenesis regulator 1","HGNC:31419","9q34.11"
"C9orf16","Previous symbol","BBLN","bublin coiled coil protein","HGNC:17823","9q34.11"
"WDR34","Previous symbol","DYNC2I2","dynein 2 intermediate chain 2","HGNC:28296","9q34.11"
"AL441992.1","Unmatched","","","",""
"LINC00963","Approved symbol","LINC00963","long intergenic non-protein coding RNA 963","HGNC:48716","9q34.11"
"PRRC2B","Approved symbol","PRRC2B","proline rich coiled-coil 2B","HGNC:28121","9q34.13"
"AL355574.1","Unmatched","","","",""
"AL590226.2","Unmatched","","","",""
"BX255925.3","Unmatched","","","",""
"AL137186.2","Unmatched","","","",""
"AL157392.3","Unmatched","","","",""
"HSPA14-1","Unmatched","","","",""
"AC069544.1","Unmatched","","","",""
"AL365203.2","Unmatched","","","",""
"AL117336.2","Unmatched","","","",""
"C10orf25","Previous symbol","ZNF22-AS1","ZNF22 antisense RNA 1","HGNC:23509","10q11.21"
"MARCH8","Previous symbol","MARCHF8","membrane associated ring-CH-type finger 8","HGNC:23356","10q11.21-q11.22"
"AL356056.2","Unmatched","","","",""
"AC245041.2","Unmatched","","","",""
"AL513534.2","Unmatched","","","",""
"KIF1BP","Previous symbol","KIFBP","kinesin family binding protein","HGNC:23419","10q22.1"
"H2AFY2","Previous symbol","MACROH2A2","macroH2A.2 histone","HGNC:14453","10q22.1"
"AC016394.2","Unmatched","","","",""
"AC016394.1","Unmatched","","","",""
"AC073389.1","Unmatched","","","",""
"AC010997.5","Unmatched","","","",""
"AL450306.1","Unmatched","","","",""
"AL135925.1","Unmatched","","","",""
"AL731569.1","Unmatched","","","",""
"AC067750.1","Unmatched","","","",""
"MARCH5","Previous symbol","MARCHF5","membrane associated ring-CH-type finger 5","HGNC:26025","10q23.32-q23.33"
"AL391684.1","Unmatched","","","",""
"AL133353.1","Unmatched","","","",""
"AC010789.1","Alias symbol","LINC03046","long intergenic non-protein coding RNA 3046","HGNC:56262","10q24.32"
"RPARP-AS1","Previous symbol","C10orf95-AS1","C10orf95 antisense RNA 1","HGNC:45238","10q24.32"
"ATP5MD","Previous symbol","ATP5MK","ATP synthase membrane subunit k","HGNC:30889","10q24.33"
"AL158212.3","Unmatched","","","",""
"AL133482.1","Unmatched","","","",""
"FAM160B1","Previous symbol","FHIP2A","FHF complex subunit HOOK interacting protein 2A","HGNC:29320","10q25.3"
"AL731571.1","Unmatched","","","",""
"AP006621.3","Unmatched","","","",""
"TOLLIP-AS1","Previous symbol","TOLLIP-DT","TOLLIP divergent transcript","HGNC:27403","11p15.5"
"CARS","Previous symbol","CARS1","cysteinyl-tRNA synthetase 1","HGNC:1493","11p15.4"
"AC127526.5","Unmatched","","","",""
"FAM160A2","Previous symbol","FHIP1B","FHF complex subunit HOOK interacting protein 1B","HGNC:25378","11p15.4"
"ST5","Previous symbol","DENND2B","DENN domain containing 2B","HGNC:11350","11p15.4"
"AC132192.2","Unmatched","","","",""
"MTRNR2L8","Approved symbol","MTRNR2L8","MT-RNR2 like 8 (pseudogene)","HGNC:37165","11p15.4"
"MRVI1","Previous symbol","IRAG1","inositol 1,4,5-triphosphate receptor associated 1","HGNC:7237","11p15.4"
"ARNTL","Previous symbol","BMAL1","basic helix-loop-helix ARNT like 1","HGNC:701","11p15.3"
"SPTY2D1OS","Previous symbol","MISFA","mitochondrial sheath formation associated","HGNC:44122","11p15.1"
"C11orf74","Previous symbol","IFTAP","intraflagellar transport associated protein","HGNC:25142","11p12"
"C11orf49","Previous symbol","CSTPP1","centriolar satellite-associated tubulin polyglutamylase complex regulator 1","HGNC:28720","11p11.2"
"AP001160.3","Unmatched","","","",""
"AP000438.1","Unmatched","","","",""
"C11orf95","Previous symbol","ZFTA","zinc finger translocation associated","HGNC:28449","11q13.1"
"AP006333.1","Unmatched","","","",""
"AP001462.1","Unmatched","","","",""
"AP003068.2","Unmatched","","","",""
"SSSCA1-AS1","Previous symbol","ZNRD2-DT","ZNRD2 divergent transcript","HGNC:27384","11q13.1"
"AP001107.9","Unmatched","","","",""
"AP002748.4","Unmatched","","","",""
"C11orf80","Previous symbol","TOP6BL","TOP6B like initiator of meiotic double strand breaks","HGNC:26197","11q13.2"
"AP002807.1","Unmatched","","","",""
"AP002387.2","Alias symbol","DHCR7-DT","DHCR7 divergent transcript","HGNC:56822","11q13.4"
"AP003498.2","Unmatched","","","",""
"FAM86C1","Previous symbol","FAM86C1P","family with sequence similarity 86 member C1, pseudogene","HGNC:25561","11q13.4"
"AP002495.1","Unmatched","","","",""
"AP002381.2","Unmatched","","","",""
"AP002761.4","Unmatched","","","",""
"AP001372.2","Unmatched","","","",""
"AP002360.1","Unmatched","","","",""
"AP003119.3","Unmatched","","","",""
"AP000873.2","Unmatched","","","",""
"AP002784.1","Unmatched","","","",""
"AP001527.2","Unmatched","","","",""
"AP001830.1","Unmatched","","","",""
"AP003307.1","Unmatched","","","",""
"COLCA2","Previous symbol","POU2AF3","POU class 2 homeobox associating factor 3","HGNC:26978","11q23.1"
"C11orf1","Previous symbol","CFAP68","cilia and flagella associated protein 68","HGNC:1163","11q23.1"
"AP004609.3","Unmatched","","","",""
"CCDC84","Previous symbol","CENATAC","centrosomal AT-AC splicing factor","HGNC:30460","11q23.3"
"AP003392.3","Unmatched","","","",""
"H2AFX","Previous symbol","H2AX","H2A.X variant histone","HGNC:4739","11q23.3"
"AP003486.1","Unmatched","","","",""
"AC007406.5","Unmatched","","","",""
"AC021054.1","Unmatched","","","",""
"AC004803.1","Unmatched","","","",""
"AC006064.4","Unmatched","","","",""
"AC092821.3","Unmatched","","","",""
"PRR4","Approved symbol","PRR4","proline rich 4","HGNC:18020","12p13.2"
"PRR4","Alias symbol","NECTIN4","nectin cell adhesion molecule 4","HGNC:19688","1q23.3"
"AC087239.1","Unmatched","","","",""
"AC092747.4","Unmatched","","","",""
"ARNTL2","Previous symbol","BMAL2","basic helix-loop-helix ARNT like 2","HGNC:18984","12p11.23"
"AC023157.3","Alias symbol","AMN1-AS1","AMN1 antisense RNA 1","HGNC:58137","12p11.21"
"AC008124.1","Unmatched","","","",""
"AC004241.3","Unmatched","","","",""
"AC004241.1","Unmatched","","","",""
"AC011603.2","Unmatched","","","",""
"AC074032.1","Unmatched","","","",""
"METTL7A","Previous symbol","TMT1A","thiol methyltransferase 1A","HGNC:24550","12q13.12"
"AC139768.1","Unmatched","","","",""
"GRASP","Previous symbol","TAMALIN","trafficking regulator and scaffold protein tamalin","HGNC:18707","12q13.13"
"AC121757.2","Unmatched","","","",""
"AC068888.1","Unmatched","","","",""
"C12orf10","Previous symbol","MYG1","MYG1 exonuclease","HGNC:17590","12q13.13"
"AC073896.2","Unmatched","","","",""
"MARS","Previous symbol","MARS1","methionyl-tRNA synthetase 1","HGNC:6898","12q13.3"
"MARCH9","Previous symbol","MARCHF9","membrane associated ring-CH-type finger 9","HGNC:25139","12q14.1"
"AC048341.1","Unmatched","","","",""
"C12orf66","Previous symbol","KICS2","KICSTOR subunit 2","HGNC:26517","12q14.2"
"AC025159.1","Unmatched","","","",""
"AC121761.2","Unmatched","","","",""
"C12orf29","Previous symbol","RLIG1","RNA 5''-phosphate and 3''-OH ligase 1","HGNC:25322","12q21.32"
"AC025164.1","Unmatched","","","",""
"UHRF1BP1L","Previous symbol","BLTP3B","bridge-like lipid transfer protein family member 3B","HGNC:29102","12q23.1"
"C12orf73","Previous symbol","UQCC6","ubiquinol-cytochrome c reductase complex assembly factor 6","HGNC:34450","12q23.3"
"C12orf45","Previous symbol","NOPCHAP1","NOP protein chaperone 1","HGNC:28628","12q23.3"
"BTBD11","Previous symbol","ABTB3","ankyrin repeat and BTB domain containing 3","HGNC:23844","12q23.3"
"C12orf49","Previous symbol","SPRING1","SREBF pathway regulator in golgi 1","HGNC:26128","12q24.22"
"AC004812.2","Alias symbol","RAB35-AS1","RAB35 antisense RNA 1","HGNC:56348","12q24.23"
"C12orf65","Previous symbol","MTRFR","mitochondrial translation release factor in rescue","HGNC:26784","12q24.31"
"AC026336.3","Unmatched","","","",""
"AC131009.3","Unmatched","","","",""
"AL355001.2","Unmatched","","","",""
"AL161772.1","Unmatched","","","",""
"AL161421.1","Unmatched","","","",""
"AL162377.1","Unmatched","","","",""
"AL359513.1","Unmatched","","","",""
"AL139089.1","Unmatched","","","",""
"FAM155A","Previous symbol","NALF1","NALCN channel auxiliary factor 1","HGNC:33877","13q33.3"
"AL139385.1","Alias symbol","NAXD-AS1","NAXD antisense RNA 1","HGNC:56341","13q34"
"LINC00346","Previous symbol","PRECSIT","p53 regulated carcinoma associated Stat3 activating long intergenic non-protein coding transcript","HGNC:27492","13q34"
"AL139384.2","Unmatched","","","",""
"AL139384.1","Unmatched","","","",""
"AL355075.4","Unmatched","","","",""
"HOMEZ","Approved symbol","HOMEZ","homeobox and leucine zipper encoding","HGNC:20164","14q11.2"
"AL135999.1","Unmatched","","","",""
"AL136295.2","Unmatched","","","",""
"AL136295.6","Unmatched","","","",""
"AL096870.8","Unmatched","","","",""
"AL121603.2","Unmatched","","","",""
"AL627171.2","Unmatched","","","",""
"LINC01588","Approved symbol","LINC01588","long intergenic non-protein coding RNA 1588","HGNC:27503","14q21.3"
"AL391152.1","Unmatched","","","",""
"AL355916.1","Unmatched","","","",""
"AL136038.5","Unmatched","","","",""
"FAM71D","Previous symbol","GARIN2","golgi associated RAB2 interactor family member 2","HGNC:20101","14q23.3"
"MPP5","Previous symbol","PALS1","protein associated with LIN7 1, MAGUK p55 family member","HGNC:18669","14q23.3"
"AL121820.2","Unmatched","","","",""
"AC004816.1","Unmatched","","","",""
"AC004825.2","Unmatched","","","",""
"ELMSAN1","Previous symbol","MIDEAS","mitotic deacetylase associated SANT domain protein","HGNC:19853","14q24.3"
"AC007686.3","Unmatched","","","",""
"AL121839.2","Unmatched","","","",""
"TMEM251","Previous symbol","LYSET","lysosomal enzyme trafficking factor","HGNC:20218","14q32.12"
"AL163051.1","Unmatched","","","",""
"WARS","Previous symbol","WARS1","tryptophanyl-tRNA synthetase 1","HGNC:12729","14q32.2"
"AL118558.3","Unmatched","","","",""
"AL049840.5","Unmatched","","","",""
"ADSSL1","Previous symbol","ADSS1","adenylosuccinate synthase 1","HGNC:20093","14q32.33"
"AC138649.1","Unmatched","","","",""
"FAM189A1","Previous symbol","ENTREP2","endosomal transmembrane epsin interactor 2","HGNC:29075","15q13.1"
"AC022613.1","Unmatched","","","",""
"AC127502.2","Unmatched","","","",""
"AC010809.2","Unmatched","","","",""
"C15orf41","Previous symbol","CDIN1","CDAN1 interacting nuclease 1","HGNC:26929","15q14"
"SRP14-AS1","Previous symbol","SRP14-DT","SRP14 divergent transcript","HGNC:48619","15q15.1"
"AC020659.1","Unmatched","","","",""
"CASC4","Previous symbol","GOLM2","golgi membrane protein 2","HGNC:24892","15q15.3"
"SPATA5L1","Previous symbol","AFG2B","AAA ATPase AFG2B","HGNC:28762","15q21.1"
"FAM214A","Previous symbol","ATOSA","atos homolog A","HGNC:25609","15q21.2-q21.3"
"C15orf65","Previous symbol","PIERCE2","piercer of microtubule wall 2","HGNC:44654","15q21.3"
"AC090517.5","Unmatched","","","",""
"AC103691.1","Unmatched","","","",""
"AC116913.1","Unmatched","","","",""
"AC107871.2","Unmatched","","","",""
"UBL7-AS1","Previous symbol","UBL7-DT","UBL7 divergent transcript","HGNC:48614","15q24.1"
"AC068338.2","Unmatched","","","",""
"ODF3L1","Previous symbol","CIMAP1C","ciliary microtubule associated protein 1C","HGNC:28735","15q24.2"
"WDR61","Previous symbol","SKIC8","SKI8 subunit of superkiller complex","HGNC:30300","15q25.1"
"AC015871.1","Unmatched","","","",""
"AC015871.4","Unmatched","","","",""
"AC016705.2","Unmatched","","","",""
"GOLGA6L10","Approved symbol","GOLGA6L10","golgin A6 family like 10","HGNC:37228","15q25.2"
"UBE2Q2L","Previous symbol","UBE2Q2P16","UBE2Q2 pseudogene 16","HGNC:44656","15q25.2"
"AC124248.1","Unmatched","","","",""
"LINC01578","Previous symbol","CHASERR","CHD2 adjacent suppressive regulatory RNA","HGNC:48626","15q26.1"
"AC015712.1","Unmatched","","","",""
"TARSL2","Previous symbol","TARS3","threonyl-tRNA synthetase 3","HGNC:24728","15q26.3"
"TMEM8A","Previous symbol","PGAP6","post-GPI attachment to proteins 6","HGNC:17205","16p13.3"
"Z92544.2","Unmatched","","","",""
"C16orf91","Previous symbol","UQCC4","ubiquinol-cytochrome c reductase complex assembly factor 4","HGNC:27558","16p13.3"
"SLC9A3R2","Previous symbol","NHERF2","NHERF family PDZ scaffold protein 2","HGNC:11076","16p13.3"
"AC009065.4","Unmatched","","","",""
"AC106820.4","Unmatched","","","",""
"AC093525.6","Unmatched","","","",""
"MMP25-AS1","Approved symbol","MMP25-AS1","MMP25 antisense RNA 1","HGNC:51372","16p13.3"
"AC022167.2","Unmatched","","","",""
"C16orf72","Previous symbol","HAPSTR1","HUWE1 associated protein modifying stress responses","HGNC:30103","16p13.2"
"AC026401.3","Unmatched","","","",""
"FOPNL","Previous symbol","CEP20","centrosomal protein 20","HGNC:26435","16p13.11"
"AC138969.1","Unmatched","","","",""
"AC099518.6","Unmatched","","","",""
"AC099518.5","Unmatched","","","",""
"TMEM159","Previous symbol","LDAF1","lipid droplet assembly factor 1","HGNC:30136","16p12.3"
"AC008915.2","Unmatched","","","",""
"AC133552.5","Unmatched","","","",""
"KIAA0556","Previous symbol","KATNIP","katanin interacting protein","HGNC:29068","16p12.1"
"AC020765.2","Unmatched","","","",""
"AC009133.1","Unmatched","","","",""
"AC012645.1","Unmatched","","","",""
"MYLPF","Previous symbol","MYL11","myosin light chain 11","HGNC:29824","16p11.2"
"AC002310.1","Unmatched","","","",""
"AC093249.6","Unmatched","","","",""
"CCDC189","Previous symbol","CFAP119","cilia and flagella associated protein 119","HGNC:28078","16p11.2"
"AC135050.6","Unmatched","","","",""
"AC026471.1","Unmatched","","","",""
"C16orf58","Previous symbol","RUSF1","RUS family member 1","HGNC:25848","16p11.2"
"ZNF720","Previous symbol","KRABD5","KRAB domain containing 5","HGNC:26987","16p11.2"
"HNRNPA1P48","Previous symbol","HNRNPA1L3","heterogeneous nuclear ribonucleoprotein A1 like 3","HGNC:48778","16q12.1"
"AC018553.1","Unmatched","","","",""
"CRNDE","Approved symbol","CRNDE","colorectal neoplasia differentially expressed","HGNC:37078","16q12.2"
"AC106738.1","Unmatched","","","",""
"AC109462.1","Unmatched","","","",""
"FAM192A","Previous symbol","PSME3IP1","proteasome activator subunit 3 interacting protein 1","HGNC:29856","16q13"
"AC009118.2","Unmatched","","","",""
"AC009118.3","Unmatched","","","",""
"C16orf70","Previous symbol","PHAF1","phagophore assembly factor 1","HGNC:29564","16q22.1"
"KIAA0895L","Previous symbol","MATCAP1","microtubule associated tyrosine carboxypeptidase 1","HGNC:34408","16q22.1"
"AC009061.2","Unmatched","","","",""
"AC020978.5","Unmatched","","","",""
"AC092115.3","Unmatched","","","",""
"AARS","Previous symbol","AARS1","alanyl-tRNA synthetase 1","HGNC:20","16q22.1"
"AC009120.2","Unmatched","","","",""
"KARS","Previous symbol","KARS1","lysyl-tRNA synthetase 1","HGNC:6215","16q23.1"
"AC027279.1","Unmatched","","","",""
"AC092718.4","Unmatched","","","",""
"AC040169.1","Unmatched","","","",""
"AC018695.6","Unmatched","","","",""
"CENPBD1","Previous symbol","CENPBD1P","CENPB DNA-binding domain containing 1, pseudogene","HGNC:28272","16q24.3"
"AC129507.1","Alias symbol","RPH3AL-AS1","RPH3AL antisense RNA 1","HGNC:55345","17p13.3"
"C17orf97","Previous symbol","LIAT1","ligand of ATE1","HGNC:33800","17p13.3"
"AC233723.1","Unmatched","","","",""
"AC012146.1","Unmatched","","","",""
"AC004148.1","Unmatched","","","",""
"AC040977.1","Unmatched","","","",""
"AC016876.1","Alias symbol","MPDU1-AS1","MPDU1 antisense RNA 1","HGNC:40379","17p13.1"
"AC087501.4","Unmatched","","","",""
"COX10-AS1","Previous symbol","COX10-DT","COX10 divergent transcript","HGNC:38873","17p12"
"AC015922.3","Unmatched","","","",""
"AC007952.4","Unmatched","","","",""
"MTRNR2L1","Approved symbol","MTRNR2L1","MT-RNR2 like 1 (pseudogene)","HGNC:37155","17p11.2"
"AC015917.2","Unmatched","","","",""
"KIAA0100","Previous symbol","BLTP2","bridge-like lipid transfer protein family member 2","HGNC:28960","17q11.2"
"AC005562.1","Unmatched","","","",""
"AC116407.2","Unmatched","","","",""
"AC006449.6","Unmatched","","","",""
"AC009283.1","Unmatched","","","",""
"AC073508.3","Unmatched","","","",""
"TMEM99","Previous symbol","KRT10-AS1","KRT10 antisense RNA 1","HGNC:28305","17q21.2"
"AC067852.2","Unmatched","","","",""
"AC060780.1","Unmatched","","","",""
"C17orf53","Previous symbol","HROB","homologous recombination factor with OB-fold","HGNC:28460","17q21.31"
"AC003102.1","Unmatched","","","",""
"AC142472.1","Unmatched","","","",""
"ARL17B","Approved symbol","ARL17B","ARF like GTPase 17B","HGNC:32387","17q21.31"
"AC005670.3","Unmatched","","","",""
"AC018521.5","Unmatched","","","",""
"PHB","Previous symbol","PHB1","prohibitin 1","HGNC:8912","17q21.33"
"FLJ45513","Unmatched","","","",""
"AC005921.2","Unmatched","","","",""
"AC006141.1","Unmatched","","","",""
"AC015912.3","Unmatched","","","",""
"AC007114.1","Unmatched","","","",""
"AC015813.1","Unmatched","","","",""
"AC091271.1","Unmatched","","","",""
"C17orf82","Previous symbol","LINC02875","long intergenic non-protein coding RNA 2875","HGNC:32699","17q23.2"
"AC145343.1","Unmatched","","","",""
"AC005332.6","Unmatched","","","",""
"AC005332.3","Unmatched","","","",""
"AC005332.5","Unmatched","","","",""
"FAM104A","Previous symbol","VCF1","VCP nuclear cofactor family member 1","HGNC:25918","17q25.1"
"C17orf80","Previous symbol","MTNAP1","mitochondrial nucleoid associated protein 1","HGNC:29601","17q25.1"
"AC064805.1","Unmatched","","","",""
"AC015802.6","Unmatched","","","",""
"TNRC6C-AS1","Previous symbol","TMC6","transmembrane channel like 6","HGNC:18021","17q25.3"
"AC061992.2","Unmatched","","","",""
"AC087741.2","Unmatched","","","",""
"AC087741.1","Unmatched","","","",""
"AC027601.1","Unmatched","","","",""
"AC027601.6","Unmatched","","","",""
"AC110285.2","Unmatched","","","",""
"AC139530.3","Unmatched","","","",""
"AC139530.1","Unmatched","","","",""
"AC145207.3","Unmatched","","","",""
"AC145207.5","Alias symbol","LINC03149","long intergenic non-protein coding RNA 3149","HGNC:58369","17q25.3"
"MAFG-DT","Previous symbol","MILIP","MYC inducible lncRNA inactivating p53","HGNC:43649","17q25.3"
"AC132872.1","Unmatched","","","",""
"AC132938.3","Unmatched","","","",""
"AC124283.1","Unmatched","","","",""
"AC144831.1","Unmatched","","","",""
"AP000894.4","Unmatched","","","",""
"AP005136.3","Unmatched","","","",""
"AP005329.3","Unmatched","","","",""
"AP005329.1","Unmatched","","","",""
"AP001021.1","Unmatched","","","",""
"AP005205.2","Unmatched","","","",""
"AP005137.2","Unmatched","","","",""
"AP001269.4","Unmatched","","","",""
"AC010754.1","Unmatched","","","",""
"AC007996.1","Unmatched","","","",""
"AC023043.1","Unmatched","","","",""
"AC023043.4","Unmatched","","","",""
"C18orf25","Previous symbol","ARK2N","arkadia (RNF111) N-terminal like PKA signaling regulator 2N","HGNC:28172","18q21.1"
"RNF165","Previous symbol","ARK2C","arkadia (RNF111) C-terminal like ring finger ubiquitin ligase 2C","HGNC:31696","18q21.1"
"NARS","Previous symbol","NARS1","asparaginyl-tRNA synthetase 1","HGNC:7643","18q21.31"
"AC027097.1","Unmatched","","","",""
"AC036176.1","Unmatched","","","",""
"LINC00909","Previous symbol","ZNF407-AS1","ZNF407 antisense RNA 1","HGNC:44331","18q22.3"
"ZADH2","Previous symbol","PTGR3","prostaglandin reductase 3","HGNC:28697","18q22.3"
"AC068473.5","Unmatched","","","",""
"AC016588.2","Unmatched","","","",""
"AC027307.2","Unmatched","","","",""
"AC012615.1","Unmatched","","","",""
"AC005306.1","Unmatched","","","",""
"AC005944.1","Unmatched","","","",""
"AC005523.2","Unmatched","","","",""
"AC011444.1","Unmatched","","","",""
"AC010503.4","Unmatched","","","",""
"AC008760.2","Unmatched","","","",""
"AC008946.1","Unmatched","","","",""
"MARCH2","Previous symbol","MARCHF2","membrane associated ring-CH-type finger 2","HGNC:28038","19p13.2"
"AC092069.1","Unmatched","","","",""
"CCDC130","Previous symbol","YJU2B","YJU2 splicing factor homolog B","HGNC:28118","19p13.13"
"AC020916.1","Unmatched","","","",""
"C19orf57","Previous symbol","BRME1","break repair meiotic recombinase recruitment factor 1","HGNC:28153","19p13.12"
"AC024075.2","Unmatched","","","",""
"AC010618.3","Unmatched","","","",""
"AC010615.2","Unmatched","","","",""
"AC092329.4","Unmatched","","","",""
"AC092279.1","Unmatched","","","",""
"AC006504.5","Unmatched","","","",""
"AC006504.7","Unmatched","","","",""
"AC007773.1","Unmatched","","","",""
"AC008736.1","Unmatched","","","",""
"AC008556.1","Unmatched","","","",""
"KIAA0355","Previous symbol","GARRE1","granule associated Rac and RHOG effector 1","HGNC:29016","19q13.11"
"AC020910.5","Unmatched","","","",""
"AC020907.1","Unmatched","","","",""
"AC002116.2","Unmatched","","","",""
"LINC01534","Previous symbol","ZNF567-DT","ZNF567 divergent transcript","HGNC:51281","19q13.12"
"AC011479.4","Unmatched","","","",""
"AC022144.1","Unmatched","","","",""
"LGALS7B","Approved symbol","LGALS7B","galectin 7B","HGNC:34447","19q13.2"
"AC011445.2","Unmatched","","","",""
"C19orf54","Previous symbol","ACTMAP","actin maturation protease","HGNC:24758","19q13.2"
"AC243964.3","Unmatched","","","",""
"AC092306.1","Unmatched","","","",""
"CD3EAP","Previous symbol","POLR1G","RNA polymerase I subunit G","HGNC:24219","19q13.32"
"AC074212.1","Unmatched","","","",""
"FAM71E1","Previous symbol","GARIN5A","golgi associated RAB2 interactor 5A","HGNC:25107","19q13.33"
"C19orf48","Previous symbol","C19orf48P","chromosome 19 open reading frame 48, pseudogene","HGNC:29667","19q13.33"
"AC005261.1","Unmatched","","","",""
"AC008969.1","Unmatched","","","",""
